"",gene_symbol,GSM4781322,GSM4781323,GSM4781324,GSM4781325,GSM4781326,GSM4781327,GSM4781328,GSM4781329
ENSG00000245598,DACT3-AS1,0,0,12,1,0,1,0,8
ENSG00000245614,DDX11-AS1,237,333,202,250,266,249,372,213
ENSG00000245648,KLRK1-AS1,13,10,9,41,10,28,9,12
ENSG00000245651,LOC283387,2,2,2,16,16,2,17,0
ENSG00000245680,ZNF585B,983,872,811,1129,494,807,873,463
ENSG00000245694,CRNDE,392,547,435,260,369,339,349,287
ENSG00000245719,LOC101929076,4,0,2,4,0,1,0,0
ENSG00000245729,LINC02226,0,0,0,0,0,0,1,0
ENSG00000245748,LOC100129931,0,0,0,2,1,0,2,0
ENSG00000245750,DRAIC,2,8,5,6,14,16,9,0
ENSG00000245812,LINC02202,299,239,95,180,216,283,393,184
ENSG00000245832,MIR4300HG,9,11,2,11,10,9,8,1
ENSG00000245848,CEBPA,34,18,13,66,15,19,7,46
ENSG00000245849,RAD51-AS1,223,303,136,247,255,339,319,139
ENSG00000245857,GS1-24F4.2,5,5,0,6,8,5,4,0
ENSG00000245864,MEF2C-AS2,0,0,0,0,0,0,0,0
ENSG00000245870,LINC00682,0,2,2,0,0,1,1,0
ENSG00000245888,NSMCE1-DT,26,129,7,42,40,27,58,140
ENSG00000245910,SNHG6,588,641,859,425,668,419,482,740
ENSG00000245928,SDAD1-AS1,17,28,20,31,26,33,35,15
ENSG00000245937,LINC01184,605,552,568,526,566,292,364,245
ENSG00000245954,LINC02273,2,1,0,0,1,0,2,0
ENSG00000245958,SEPTIN7P14,841,1023,883,585,974,689,760,702
ENSG00000245975,LOC101928725,171,183,105,201,102,154,191,114
ENSG00000246022,ALDH1L1-AS2,0,2,1,0,0,24,0,0
ENSG00000246082,NUDT16L2P,3,1,2,2,3,5,4,104
ENSG00000246084,LINC02325,0,0,0,0,0,0,0,0
ENSG00000246089,LOC100287015,127,79,157,134,126,72,73,189
ENSG00000246090,LOC100507053,28,79,36,95,96,42,58,1
ENSG00000246130,LOC286059,2,0,6,1,0,5,1,10
ENSG00000246145,RRS1-AS1,56,50,52,56,31,37,55,4
ENSG00000246174,KCTD21-AS1,140,144,149,131,144,128,140,121
ENSG00000246211,P4HA3-AS1,9,7,3,5,2,4,3,0
ENSG00000246214,LOC101929524,1,0,0,0,0,0,0,0
ENSG00000246223,LINC01550,42,66,27,37,24,50,57,32
ENSG00000246228,CASC8,0,0,1,0,0,0,0,0
ENSG00000246273,SBF2-AS1,176,153,76,349,82,68,124,217
ENSG00000246308,LOC101928053,14,13,9,17,8,21,15,1
ENSG00000246331,LOC645485,5,5,1,5,3,3,1,7
ENSG00000246339,EXTL3-AS1,68,66,36,45,36,69,106,28
ENSG00000246363,LINC02458,3,0,0,0,0,4,0,3
ENSG00000246366,LACTB2-AS1,47,119,42,112,77,75,103,47
ENSG00000246375,PPM1K-DT,0,0,0,0,0,0,0,0
ENSG00000246379,LOC283856,9,4,6,6,16,7,9,4
ENSG00000246394,ZNF84-DT,13,32,19,22,23,19,33,22
ENSG00000246422,DIAPH1-AS1,0,1,0,0,0,4,2,0
ENSG00000246430,LINC00968,1,0,0,0,0,0,0,0
ENSG00000246477,LOC101929290,10,1,0,0,3,6,4,0
ENSG00000246523,FZD4-DT,2,6,7,4,10,1,6,4
ENSG00000246526,LINC02481,3,5,0,13,1,1,0,13
ENSG00000246528,LOC101929759,0,0,0,0,1,0,0,0
ENSG00000246541,LOC101929210,0,0,0,0,0,0,0,0
ENSG00000246548,LINC02288,10,11,10,10,11,2,4,2
ENSG00000246560,UBE2D3-AS1,30,40,30,10,32,30,43,15
ENSG00000246582,LOC389641,140,116,99,144,60,81,59,91
ENSG00000246627,CACNA1C-AS1,1,2,3,2,5,4,0,0
ENSG00000246640,PICART1,76,95,64,196,48,43,49,201
ENSG00000246662,LINC00535,0,0,0,0,1,4,4,0
ENSG00000246705,H2AJ,869,664,1187,773,912,933,659,931
ENSG00000246731,MGC16275,18,24,9,123,31,29,10,14
ENSG00000246740,PLA2G4E-AS1,2,0,0,2,4,3,2,0
ENSG00000246763,RGMB-AS1,38,10,100,22,46,5,52,26
ENSG00000246774,COL25A1-DT,0,0,0,0,0,0,0,0
ENSG00000246777,LOC106699570,19,4,9,22,14,15,9,21
ENSG00000246859,STARD4-AS1,2,10,15,4,14,6,96,4
